4.371	0.415	-9.637	sentado
4.514	0.278	-8.904	sentado
4.26	-0.02	-8.904	sentado
4.08	-0.336	-9.29	sentado
3.539	-0.766	-9.494	sentado
3.207	-1.062	-9.286	sentado
2.732	-1.144	-9.334	sentado
2.424	-1.317	-9.355	sentado
2.253	-1.428	-9.365	sentado
2.351	-1.069	-9.448	sentado
2.453	-0.53	-9.317	sentado
2.853	0.028	-8.905	sentado
3.376	0.77	-8.417	sentado
3.523	1.299	-8.001	sentado
3.414	1.304	-7.706	sentado
3.191	1.369	-7.538	sentado
2.832	1.389	-7.378	sentado
2.209	1.137	-7.471	sentado
1.711	0.844	-8.132	sentado
1.811	0.339	-9.366	sentado
2.307	0.936	-12.561	sentado
2.065	-5.867	-15.899	sentado
3.566	-5.447	-9.724	sentado
3.46	0.091	-7.885	sentado
1.779	1.33	-7.732	sentado
2.316	-0.516	-9.307	sentado
2.434	-2.431	-9.603	sentado
2.66	-2.021	-8.715	sentado
2.029	-0.23	-8.703	sentado
0.958	0.542	-8.572	sentado
1.112	0.318	-7.971	sentado
1.44	0.292	-7.503	sentado
1.528	0.633	-7.574	sentado
1.602	0.636	-7.956	sentado
1.756	0.209	-8.545	sentado
1.776	0.209	-8.941	sentado
2.169	-0.089	-9.161	sentado
2.379	0.269	-9.355	sentado
2.209	-0.188	-11.449	sentado
3.889	-6.535	-13.801	sentado
3.13	-2.942	-8.628	sentado
1.612	0.669	-11.179	sentado
3.005	1.522	-8.803	sentado
3.853	-0.13	-8.176	sentado
3.305	-0.927	-8.563	sentado
3.395	-0.549	-8.291	sentado
2.582	0.007	-8.617	sentado
2.066	-0.394	-9.299	sentado
1.889	-0.874	-9.176	sentado
1.697	-0.84	-8.926	sentado
1.618	-0.569	-8.9	sentado
1.416	-0.566	-9.414	sentado
1.279	-0.842	-9.716	sentado
1.615	-0.962	-8.744	sentado
1.864	-0.916	-8.671	sentado
2.416	-0.6	-8.253	sentado
2.746	-0.28	-8.594	sentado
3.584	-0.17	-9.349	sentado
3.919	-0.207	-9.589	sentado
3.877	-0.573	-9.422	sentado
3.824	-0.669	-9.231	sentado
3.992	-0.299	-9.494	sentado
4.341	-0.299	-9.516	sentado
4.146	0.081	-9.039	sentado
4.61	0.177	-8.972	sentado
4.317	0.394	-8.557	sentado
2.679	-2.901	-10.688	sentado
3.286	-1.933	-11.395	sentado
3.521	0.323	-8.374	sentado
2.67	1.384	-7.599	sentado
1.804	1.241	-8.552	sentado
1.354	-0.263	-9.96	sentado
1.597	-1.058	-9.878	sentado
1.298	-0.88	-9.635	sentado
0.918	0.153	-8.435	sentado
0.704	-0.344	-7.89	sentado
0.378	-1.454	-8.651	sentado
1.209	-1.636	-9.966	sentado
1.281	-2.416	-9.336	sentado
1.176	-2.653	-9.631	sentado
0.142	-2.884	-9.391	sentado
0.699	-3.151	-9.267	sentado
0.597	-3.229	-8.878	sentado
0.304	-3.414	-9.021	sentado
-0.166	-3.915	-9.087	sentado
-0.427	-4.017	-9.343	sentado
-0.773	-3.94	-9.284	sentado
-0.261	-2.96	-9.197	sentado
0.341	-2.643	-9.213	sentado
0.462	-2.354	-9.47	sentado
0.54	-2.16	-9.857	sentado
0.619	-1.811	-9.735	sentado
0.792	-1.839	-9.445	sentado
1.129	-1.73	-9.105	sentado
1.257	-1.512	-8.987	sentado
1.482	-1.374	-8.703	sentado
1.66	-1.396	-8.723	sentado
2.151	-1.106	-8.812	sentado
2.759	-1.091	-9.002	sentado
3.734	-1.179	-9.032	sentado
4.201	-0.967	-9.443	sentado
4.345	-0.614	-9.414	sentado
4.919	-0.268	-9.046	sentado
5.065	-0.036	-8.717	sentado
5.047	0.048	-8.671	sentado
4.638	-0.311	-8.582	sentado
4.429	-0.509	-8.672	sentado
4.446	-0.492	-8.9	sentado
4.691	-0.561	-9.288	sentado
4.778	-0.589	-9.425	sentado
4.642	-0.617	-9.161	sentado
4.059	-0.816	-8.691	sentado
3.491	-1.156	-8.399	sentado
3.122	-1.446	-8.544	sentado
2.825	-1.511	-8.805	sentado
2.49	-1.547	-9.121	sentado
2.228	-1.596	-9.166	sentado
2.181	-1.753	-9.268	sentado
1.996	-1.872	-9.234	sentado
1.584	-1.693	-9.43	sentado
0.97	-1.61	-9.586	sentado
0.802	-1.579	-9.572	sentado
0.395	-1.542	-9.419	sentado
0.393	-1.463	-9.515	sentado
0.265	-1.373	-9.874	sentado
0.447	-1.368	-10.105	sentado
0.567	-1.3	-10.057	sentado
1.04	-1.311	-10.439	sentado
0.655	-1.416	-10.42	sentado
0.728	-0.991	-9.087	sentado
1.798	-0.812	-8.23	sentado
2.2	-0.597	-8.212	sentado
1.875	-0.621	-8.426	sentado
2.278	-0.444	-8.483	sentado
2.518	-0.229	-8.667	sentado
2.544	-0.065	-8.535	sentado
2.849	-0.116	-8.531	sentado
3.275	-0.329	-8.691	sentado
3.201	-0.564	-9.195	sentado
2.873	-0.499	-9.394	sentado
2.701	-0.485	-9.511	sentado
2.543	-0.928	-9.68	sentado
2.471	-0.898	-9.559	sentado
2.412	-0.967	-9.646	sentado
2.182	-0.785	-9.566	sentado
3.02	-0.35	-9.272	sentado
2.805	-0.958	-9.549	sentado
3.041	-1.731	-9.28	sentado
3.576	-0.666	-9.686	sentado
2.899	-0.638	-10.244	sentado
1.97	-1.598	-9.471	sentado
2.034	-1.538	-8.79	sentado
2.369	-1.627	-8.997	sentado
1.544	-0.259	-9.16	sentado
1.535	-0.463	-8.437	sentado
1.817	0.107	-8.557	sentado
1.487	0.439	-8.053	sentado
1.277	1.199	-7.371	sentado
1.568	0.702	-7.621	sentado
1.879	0.195	-8.198	sentado
2.005	-0.036	-9.367	sentado
2.4	0.194	-10.94	sentado
2.761	-1.379	-13.18	sentado
2.898	-3.65	-12.667	sentado
2.136	-2.564	-9.214	sentado
1.887	-1.204	-8.644	sentado
2.175	-1.115	-8.606	sentado
1.974	-1.037	-8.893	sentado
2.107	-0.9	-8.88	sentado
2.118	-0.557	-8.947	sentado
1.871	-0.242	-8.975	sentado
1.82	-0.128	-8.928	sentado
1.873	-0.166	-8.633	sentado
1.918	-0.181	-8.642	sentado
2.124	-0.163	-8.942	sentado
2.227	-0.243	-8.952	sentado
2.361	-0.366	-8.807	sentado
2.503	-0.292	-8.562	sentado
2.622	0.031	-8.58	sentado
2.878	0.347	-9.817	sentado
3.512	0.67	-11.466	sentado
4.12	0.174	-11.135	sentado
3.826	-0.121	-9.533	sentado
3.492	0.37	-8.258	sentado
3.341	1.039	-8.291	sentado
3.344	1.366	-8.85	sentado
3.655	1.264	-8.802	sentado
4.305	0.098	-8.469	sentado
3.646	-0.807	-8.614	sentado
2.337	-1.599	-8.783	sentado
1.985	-1.782	-9.257	sentado
2.009	-1.939	-9.633	sentado
1.371	-2.124	-9.464	sentado
0.524	-2.462	-9.017	sentado
0.443	-2.495	-9.255	sentado
0.933	-2.826	-9.433	sentado
1.177	-2.853	-9.438	sentado
1.214	-3.072	-9.212	sentado
1.401	-3.432	-9.035	sentado
1.16	-3.739	-9.054	sentado
0.892	-3.847	-9.066	sentado
1	-3.649	-9.275	sentado
1.296	-3.238	-9.471	sentado
1.475	-2.559	-9.328	sentado
1.446	-2.023	-9.291	sentado
1.481	-1.769	-9.298	sentado
1.543	-1.447	-9.363	sentado
1.61	-1.391	-9.181	sentado
1.36	-1.948	-9.533	sentado
1.472	-1.738	-9.533	sentado
1.756	-1.452	-9.431	sentado
2.267	-1.15	-9.002	sentado
2.497	-0.958	-8.99	sentado
