2.35	0.056	-8.734	acostado
2.313	0.268	-8.423	acostado
2.197	0.566	-8.03	acostado
1.882	0.77	-7.963	acostado
1.96	0.66	-8.023	acostado
2.447	0.384	-8.401	acostado
2.738	0.078	-9.37	acostado
2.938	-0.183	-10.409	acostado
2.842	-0.332	-11.052	acostado
2.476	-0.376	-11.333	acostado
2.126	-0.342	-11.192	acostado
1.812	-0.119	-10.253	acostado
1.785	0.189	-9.325	acostado
1.628	0.468	-8.497	acostado
1.48	0.607	-8.068	acostado
1.52	0.667	-8.058	acostado
1.75	0.684	-8.452	acostado
1.999	0.523	-8.982	acostado
2.185	0.225	-9.554	acostado
2.242	-0.042	-9.96	acostado
2.223	-0.146	-10.015	acostado
2.154	0.008	-9.778	acostado
2.119	0.273	-9.452	acostado
2.095	0.476	-9.122	acostado
2.114	0.542	-8.867	acostado
2.152	0.48	-8.868	acostado
2.236	0.369	-8.995	acostado
2.3	0.245	-9.231	acostado
2.421	0.136	-9.376	acostado
2.407	0.056	-9.443	acostado
2.374	0.158	-9.465	acostado
2.35	0.202	-9.395	acostado
2.313	0.368	-9.264	acostado
2.285	0.506	-9.221	acostado
2.304	0.486	-9.143	acostado
2.339	0.455	-9.027	acostado
2.326	0.364	-9.091	acostado
2.429	0.32	-9.244	acostado
2.501	0.351	-9.292	acostado
2.523	0.376	-9.324	acostado
2.483	0.419	-9.299	acostado
2.482	0.352	-9.396	acostado
2.591	0.363	-9.287	acostado
2.509	0.357	-9.25	acostado
2.471	0.297	-9.257	acostado
2.388	0.235	-9.262	acostado
2.255	0.19	-9.305	acostado
2.174	0.174	-9.321	acostado
2.107	0.163	-9.379	acostado
2.105	0.14	-9.505	acostado
2.01	0.068	-9.497	acostado
1.979	0.13	-9.398	acostado
2.067	0.275	-9.343	acostado
2.218	0.376	-9.31	acostado
2.28	0.292	-9.209	acostado
2.259	0.13	-9.339	acostado
2.298	0.256	-9.303	acostado
2.801	0.836	-9.334	acostado
2.812	1.026	-8.976	acostado
2.258	0.8	-8.817	acostado
1.973	0.587	-8.742	acostado
1.7	0.464	-8.871	acostado
1.583	0.36	-9.008	acostado
1.494	0.384	-9.183	acostado
1.427	0.411	-9.323	acostado
1.389	0.354	-9.51	acostado
1.499	0.285	-9.573	acostado
1.651	0.28	-9.583	acostado
1.794	0.32	-9.476	acostado
1.858	0.424	-9.237	acostado
1.9	0.549	-9.019	acostado
1.85	0.498	-8.921	acostado
1.794	0.427	-8.967	acostado
1.884	0.415	-9.148	acostado
2.027	0.358	-9.3	acostado
2.076	0.354	-9.383	acostado
2.106	0.286	-9.409	acostado
2.181	0.213	-9.376	acostado
2.279	0.245	-9.231	acostado
2.339	0.45	-9.118	acostado
2.404	0.66	-9.088	acostado
2.422	0.772	-9.116	acostado
2.309	0.649	-9.153	acostado
2.184	0.415	-9.104	acostado
2.113	0.262	-9.145	acostado
2.042	0.194	-9.249	acostado
2.031	0.221	-9.426	acostado
2.095	0.28	-9.462	acostado
2.122	0.333	-9.394	acostado
2.102	0.322	-9.454	acostado
2.201	0.247	-9.452	acostado
1.754	0.206	-9.588	acostado
1.335	0.139	-9.77	acostado
0.777	0.248	-9.852	acostado
0.618	0.484	-9.803	acostado
0.751	0.678	-9.438	acostado
0.804	0.672	-9.22	acostado
0.876	0.498	-9.098	acostado
1.014	0.339	-9.078	acostado
1.15	0.273	-9.175	acostado
1.301	0.329	-9.306	acostado
1.464	0.359	-9.461	acostado
1.739	0.214	-9.597	acostado
2.154	0.01	-9.566	acostado
2.553	-0.053	-9.345	acostado
2.795	0.066	-9.196	acostado
2.892	0.272	-9.227	acostado
2.972	0.401	-9.258	acostado
2.975	0.438	-9.231	acostado
2.952	0.356	-9.185	acostado
2.903	0.19	-9.172	acostado
2.926	-0.022	-9.184	acostado
3.002	-0.256	-9.19	acostado
3.059	-0.371	-9.219	acostado
3.074	-0.322	-9.263	acostado
2.982	-0.25	-9.28	acostado
2.89	-0.162	-9.298	acostado
2.778	-0.096	-9.252	acostado
2.617	-0.031	-9.233	acostado
2.472	0.032	-9.263	acostado
2.322	0.124	-9.298	acostado
2.143	0.158	-9.328	acostado
2.047	0.17	-9.214	acostado
1.945	0.178	-9.148	acostado
1.893	0.272	-9.148	acostado
1.897	0.316	-9.226	acostado
1.861	0.285	-9.383	acostado
1.844	0.196	-9.39	acostado
1.828	0.062	-9.305	acostado
1.809	-0.05	-9.218	acostado
1.921	-0.04	-9.207	acostado
2.083	0.087	-9.27	acostado
2.184	0.16	-9.287	acostado
2.241	0.169	-9.153	acostado
2.282	0.159	-9.082	acostado
2.331	0.215	-9.155	acostado
2.359	0.262	-9.27	acostado
2.33	0.242	-9.317	acostado
2.267	0.148	-9.304	acostado
2.203	0.079	-9.246	acostado
2.207	0.11	-9.245	acostado
2.235	0.193	-9.268	acostado
2.252	0.213	-9.293	acostado
2.223	0.154	-9.255	acostado
2.271	0.132	-9.249	acostado
2.32	0.145	-9.245	acostado
2.365	0.16	-9.254	acostado
2.386	0.145	-9.266	acostado
2.407	0.111	-9.268	acostado
2.423	0.144	-9.264	acostado
2.405	0.168	-9.209	acostado
2.37	0.142	-9.221	acostado
2.307	0.123	-9.197	acostado
2.277	0.193	-9.208	acostado
2.233	0.263	-9.218	acostado
2.192	0.267	-9.238	acostado
2.199	0.273	-9.284	acostado
2.223	0.248	-9.299	acostado
2.228	0.166	-9.252	acostado
2.21	0.177	-9.213	acostado
2.216	0.233	-9.196	acostado
2.222	0.239	-9.189	acostado
2.223	0.181	-9.188	acostado
2.261	0.123	-9.22	acostado
2.343	0.226	-9.221	acostado
2.404	0.283	-9.227	acostado
2.381	0.201	-9.236	acostado
2.386	0.079	-9.3	acostado
2.447	0.079	-9.267	acostado
2.534	0.193	-9.248	acostado
2.601	0.259	-9.248	acostado
2.6	0.207	-9.182	acostado
2.522	0.011	-9.199	acostado
2.484	-0.133	-9.244	acostado
2.434	-0.209	-9.38	acostado
2.331	-0.196	-9.385	acostado
2.167	-0.103	-9.313	acostado
2.125	0.042	-9.306	acostado
2.122	0.166	-9.276	acostado
2.145	0.174	-9.287	acostado
2.163	0.104	-9.244	acostado
2.16	0.055	-9.222	acostado
2.229	0.095	-9.256	acostado
2.231	0.136	-9.252	acostado
