c=x		-0.192	-9.133	-0.912	parado
d=y		-0.321	-9.534	-0.939	parado
e=z		-0.236	-10.224	-0.952	parado
		-0.322	-10.448	-1.221	parado
		-0.53	-10.531	-1.536	parado
		-0.559	-10.422	-1.767	parado
		-0.454	-10.35	-1.979	parado
		-0.488	-9.934	-2.182	parado
		-0.308	-9.937	-2.721	parado
		0.14	-9.929	-2.786	parado
		0.207	-9.787	-2.653	parado
		0.256	-9.724	-1.845	parado
		-0.032	-9.459	-0.924	parado
		-0.037	-10.548	-1.316	parado
		0.345	-9.363	-1.712	parado
		0.57	-8.897	-1.621	parado
		0.226	-9.061	-0.959	parado
		0.193	-9.191	-0.842	parado
		0.427	-8.922	-1.651	parado
		0.413	-8.622	-1.779	parado
		0.014	-8.48	-1.706	parado
		-0.414	-8.523	-1.718	parado
		-0.502	-8.484	-1.802	parado
		-0.558	-8.332	-1.951	parado
		-0.649	-8.134	-2.205	parado
		-0.876	-7.914	-2.443	parado
		-1.033	-7.8	-2.549	parado
		-0.889	-7.971	-2.695	parado
		-0.595	-8.305	-2.999	parado
		-0.23	-8.68	-3.403	parado
		0.116	-8.789	-4.028	parado
		0.625	-8.788	-4.633	parado
		1.401	-9.013	-4.915	parado
		2.109	-9.623	-5.128	parado
		2.825	-10.045	-5.325	parado
		2.741	-9.468	-4.851	parado
		1.654	-8.411	-3.871	parado
		0.11	-8.86	-3.652	parado
		-1.574	-12.409	-3.667	parado
		2.273	-15.176	-0.208	parado
		1.851	-10.673	0.553	parado
		-5.471	-6.348	-0.238	parado
		-4.845	-7.726	0.988	parado
		0.175	-9.883	1.435	parado
		1.656	-11.199	0.652	parado
		0.991	-10.191	-0.326	parado
		1.006	-9.335	-0.558	parado
		1.725	-9.492	-0.418	parado
		2.077	-9.562	-0.31	parado
		1.347	-9.418	-0.82	parado
		0.413	-9.497	-1.214	parado
		0.267	-9.683	-1.074	parado
		0.536	-9.722	-0.928	parado
		0.821	-9.765	-0.735	parado
		0.705	-9.744	-0.7	parado
		0.409	-9.768	-0.439	parado
		0.165	-9.503	-0.306	parado
		0.178	-9.646	-0.364	parado
		0.437	-9.681	-0.193	parado
		0.393	-9.497	0.073	parado
		0.034	-9.39	0.362	parado
		-0.329	-9.463	0.469	parado
		-0.551	-9.548	0.503	parado
		-0.534	-9.626	0.211	parado
		-0.587	-9.591	0.057	parado
		-0.715	-9.606	-0.113	parado
		-0.706	-9.628	-0.113	parado
		-0.518	-9.777	-0.162	parado
		-0.311	-9.78	-0.356	parado
		0.05	-9.707	-0.214	parado
		0.221	-9.688	-0.253	parado
		0.323	-9.724	-0.497	parado
		0.359	-9.693	-0.68	parado
		0.886	-9.604	-0.509	parado
		1.537	-9.286	0.175	parado
		1.427	-9.58	0.135	parado
		2.078	-10.737	0.539	parado
		2.158	-12.303	0.792	parado
		1.601	-12.037	-0.056	parado
		-0.032	-11.444	-0.626	parado
		-1.367	-11.073	-1.267	parado
		-1.554	-10.943	-2.253	parado
		-1.019	-10.776	-3.461	parado
		-0.186	-10.557	-3.524	parado
		0.927	-10.275	-2.896	parado
		1.246	-9.828	-1.415	parado
		0.199	-9.205	-0.405	parado
		-0.909	-8.887	0.23	parado
		-1.8	-9.267	0.636	parado
		-2.277	-10.423	1.326	parado
		-1.549	-11.048	0.912	parado
		-0.263	-10.235	-0.17	parado
		0.576	-9.251	-0.394	parado
		0.178	-8.6	-0.241	parado
		-0.836	-8.475	0.053	parado
